# contains logged_avg rows from train_pytorch logging and per-step tqdm_step rows from tqdm output
# gtdual zero-init v3 two-stage run; stage2 initializes from stage1 step 5000
exp	config	source_job_id	job_state	row_type	timestamp	step	total_steps	display_step	loss	lr	grad_norm	interval_time_s	action_loss	action_loss_raw	aux_loss	aux_gt_loss	aux_pi3x_loss	aux_xy_loss	aux_z_loss	aux_scale_mean	aux_gt_frac	aux_pi3x_frac	pytorch_weight_path_override
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual	8258893	COMPLETED	logged_avg	14:37:33.568	2400		2400	0.3429	1.68e-05	153.84	212.2	0.0159	0.1589	0.3270	0.1907	0.1363	0.1678	0.1592	0.0619	0.5000	0.5000	<none>
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual	8258893	COMPLETED	logged_avg	14:41:02.109	2500		2500	0.3353	1.61e-05	90.38	208.5	0.0161	0.1613	0.3192	0.1877	0.1315	0.1544	0.1648	0.0594	0.5000	0.5000	<none>
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual	8258893	COMPLETED	logged_avg	14:44:30.908	2600		2600	0.3207	1.53e-05	92.16	208.8	0.0165	0.1655	0.3042	0.1787	0.1254	0.1528	0.1513	0.0669	0.5000	0.5000	<none>
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual	8258893	COMPLETED	logged_avg	14:48:00.721	2700		2700	0.3276	1.45e-05	132.16	209.8	0.0155	0.1549	0.3121	0.1853	0.1268	0.1608	0.1513	0.0663	0.5000	0.5000	<none>
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual	8258893	COMPLETED	logged_avg	14:51:32.078	2800		2800	0.3289	1.37e-05	117.14	211.4	0.0165	0.1651	0.3123	0.1822	0.1302	0.1564	0.1559	0.0413	0.5000	0.5000	<none>
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual	8258893	COMPLETED	logged_avg	14:55:06.544	2900		2900	0.3240	1.30e-05	119.99	214.5	0.0168	0.1675	0.3072	0.1823	0.1249	0.1556	0.1516	0.0481	0.5000	0.5000	<none>
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual	8258893	COMPLETED	logged_avg	14:59:02.975	3000		3000	0.3130	1.22e-05	91.92	236.4	0.0162	0.1616	0.2969	0.1749	0.1220	0.1524	0.1444	0.0594	0.5000	0.5000	<none>
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual	8258893	COMPLETED	logged_avg	15:02:40.463	3100		3100	0.3177	1.14e-05	84.78	217.5	0.0168	0.1683	0.3008	0.1805	0.1204	0.1518	0.1490	0.0550	0.5000	0.5000	<none>
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual	8258893	COMPLETED	logged_avg	15:06:14.582	3200		3200	0.3205	1.06e-05	80.51	214.1	0.0160	0.1597	0.3045	0.1833	0.1212	0.1525	0.1520	0.0644	0.5000	0.5000	<none>
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual	8258893	COMPLETED	logged_avg	15:09:49.324	3300		3300	0.3177	9.90e-06	68.53	214.7	0.0167	0.1672	0.3010	0.1819	0.1191	0.1514	0.1496	0.0550	0.5000	0.5000	<none>
